Record #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PMRecord #:  3
Notes :
1.	Sirisha - 39 - F, Normal,
Spontaneous blinks ~ 3 mins
Electrode placement: 1
Ch1, Ch2- vertical channel, Ch3-Hrzontal (L- positive, R - negative)
LPF: order= 4, Cut-off:15 Hz
Only one common reference for Ch-A and Ch-B


6/20/20224:22:42 PM
Volts Data

CH1	CH2	CH3	
-14.556728E-3	-16.872279E-3	288.225710E-6
-14.546491E-3	-16.871162E-3	286.862254E-6
-14.522620E-3	-16.870894E-3	284.582376E-6
-14.491394E-3	-16.871184E-3	281.877816E-6
-14.458247E-3	-16.871050E-3	279.083848E-6
-14.427647E-3	-16.870134E-3	276.468694E-6
-14.402948E-3	-16.869172E-3	274.434686E-6
-14.385894E-3	-16.868904E-3	273.160636E-6
-14.376596E-3	-16.869016E-3	272.579491E-6
-14.373980E-3	-16.868569E-3	272.423029E-6
-14.376596E-3	-16.867273E-3	272.445381E-6
-14.382921E-3	-16.865887E-3	272.646546E-6
-14.391348E-3	-16.865127E-3	273.004174E-6
-14.400244E-3	-16.864792E-3	273.317099E-6
-14.408089E-3	-16.864099E-3	273.272395E-6
-14.414147E-3	-16.862959E-3	272.735953E-6
-14.418192E-3	-16.862176E-3	271.953642E-6
-14.420383E-3	-16.862422E-3	271.216035E-6
-14.420830E-3	-16.863294E-3	270.590186E-6
-14.419757E-3	-16.863808E-3	270.053744E-6
-14.417633E-3	-16.863674E-3	269.651413E-6
-14.415219E-3	-16.863629E-3	269.539654E-6
-14.413096E-3	-16.864389E-3	269.897282E-6
-14.411420E-3	-16.865641E-3	270.590186E-6
-14.410034E-3	-16.866490E-3	271.372497E-6
-14.408939E-3	-16.866624E-3	272.043049E-6
-14.408357E-3	-16.866826E-3	272.646546E-6
-14.408335E-3	-16.867742E-3	273.205340E-6
-14.408670E-3	-16.869061E-3	273.697078E-6
-14.409050E-3	-16.869821E-3	273.920596E-6
-14.409475E-3	-16.869709E-3	273.786485E-6
-14.410235E-3	-16.869552E-3	273.406506E-6
-14.411665E-3	-16.870245E-3	272.892416E-6
-14.413789E-3	-16.871922E-3	272.043049E-6
-14.416717E-3	-16.874291E-3	270.433724E-6
-14.420852E-3	-16.877934E-3	267.662108E-6
-14.426954E-3	-16.884349E-3	263.616443E-6
-14.435694E-3	-16.894877E-3	258.162618E-6
-14.447361E-3	-16.909473E-3	251.144171E-6
-14.461935E-3	-16.927198E-3	242.516398E-6
-14.479324E-3	-16.947336E-3	232.569873E-6
-14.499418E-3	-16.969889E-3	221.997499E-6
-14.521770E-3	-16.994610E-3	211.648643E-6
-14.545441E-3	-17.020203E-3	202.104449E-6
-14.569335E-3	-17.044812E-3	193.655491E-6
-14.592603E-3	-17.067365E-3	186.525285E-6
-14.614820E-3	-17.087974E-3	180.982053E-6
-14.635652E-3	-17.106950E-3	177.249312E-6
-14.654696E-3	-17.123826E-3	175.148249E-6
-14.671594E-3	-17.137796E-3	174.365938E-6
-14.686346E-3	-17.148882E-3	174.634159E-6
-14.699332E-3	-17.158225E-3	175.885856E-6
-14.710888E-3	-17.166831E-3	178.053975E-6
-14.721192E-3	-17.174743E-3	180.825591E-6
-14.730178E-3	-17.181359E-3	183.708966E-6
-14.737979E-3	-17.186634E-3	186.301768E-6
-14.744975E-3	-17.191485E-3	188.380480E-6
-14.751345E-3	-17.196603E-3	189.788640E-6
-14.756955E-3	-17.201655E-3	190.436840E-6
-14.761537E-3	-17.205656E-3	190.123916E-6
-14.765002E-3	-17.208293E-3	188.961625E-6
-14.767595E-3	-17.210215E-3	187.307596E-6
-14.769495E-3	-17.212071E-3	185.541809E-6
-14.770612E-3	-17.213568E-3	183.887780E-6
-14.770791E-3	-17.213903E-3	182.345510E-6
-14.770165E-3	-17.213032E-3	181.026757E-6
-14.769092E-3	-17.211735E-3	180.132687E-6
-14.767863E-3	-17.210864E-3	179.797411E-6
-14.766477E-3	-17.210193E-3	179.909170E-6
-14.764823E-3	-17.208964E-3	180.222094E-6
-14.762901E-3	-17.206974E-3	180.557370E-6
-14.761001E-3	-17.204940E-3	180.937350E-6
-14.759324E-3	-17.203443E-3	181.406736E-6
-14.757827E-3	-17.202102E-3	181.853771E-6
-14.756352E-3	-17.200112E-3	182.010233E-6
-14.754966E-3	-17.197363E-3	181.853771E-6
-14.753893E-3	-17.194748E-3	181.518495E-6
-14.753334E-3	-17.193049E-3	181.183219E-6
-14.753088E-3	-17.192043E-3	180.847943E-6
-14.752865E-3	-17.190993E-3	180.378556E-6
-14.752574E-3	-17.189786E-3	179.775059E-6
-14.752351E-3	-17.189160E-3	179.149210E-6
-14.752351E-3	-17.189741E-3	178.702176E-6
-14.752418E-3	-17.191015E-3	178.433955E-6
-14.752395E-3	-17.191909E-3	178.210437E-6
-14.752418E-3	-17.191976E-3	178.031623E-6
-14.752731E-3	-17.191730E-3	177.986920E-6
-14.753357E-3	-17.191596E-3	178.165734E-6
-14.753871E-3	-17.191082E-3	178.523362E-6
-14.753602E-3	-17.189227E-3	179.059803E-6
-14.752060E-3	-17.185740E-3	180.020928E-6
-14.749065E-3	-17.181315E-3	181.786716E-6
-14.744528E-3	-17.176554E-3	184.692442E-6
-14.738470E-3	-17.171435E-3	188.648701E-6
-14.731139E-3	-17.165512E-3	193.364918E-6
-14.723092E-3	-17.159097E-3	198.528171E-6
-14.714956E-3	-17.153017E-3	203.870237E-6
-14.707223E-3	-17.147943E-3	209.078193E-6
-14.700249E-3	-17.143719E-3	213.749707E-6
-14.694504E-3	-17.140009E-3	217.415392E-6
-14.690414E-3	-17.137036E-3	219.896436E-6
-14.688134E-3	-17.135449E-3	221.259892E-6
-14.687330E-3	-17.135359E-3	221.706927E-6
-14.687553E-3	-17.136030E-3	221.304595E-6
-14.688514E-3	-17.136678E-3	220.142305E-6
-14.690123E-3	-17.137237E-3	218.532979E-6
-14.692247E-3	-17.138243E-3	216.856599E-6
-14.694460E-3	-17.139785E-3	215.470791E-6
-14.696293E-3	-17.141171E-3	214.420259E-6
-14.697567E-3	-17.141618E-3	213.615596E-6
-14.698461E-3	-17.141171E-3	213.034451E-6
-14.699243E-3	-17.140746E-3	212.833285E-6
-14.700003E-3	-17.140858E-3	213.123858E-6
-14.700584E-3	-17.141171E-3	213.772058E-6
-14.700897E-3	-17.141059E-3	214.509666E-6
-14.701098E-3	-17.140612E-3	215.113163E-6
-14.701433E-3	-17.140724E-3	215.627253E-6
-14.701970E-3	-17.141975E-3	216.074288E-6
-14.702551E-3	-17.143853E-3	216.297805E-6
-14.703088E-3	-17.145418E-3	216.096640E-6
-14.703579E-3	-17.146446E-3	215.403736E-6
-14.704295E-3	-17.147608E-3	214.353204E-6
-14.705211E-3	-17.149329E-3	213.123858E-6
-14.706083E-3	-17.150983E-3	211.760402E-6
-14.706597E-3	-17.151497E-3	210.151076E-6
-14.706776E-3	-17.150648E-3	208.407640E-6
-14.706843E-3	-17.149217E-3	206.753612E-6
-14.706977E-3	-17.148033E-3	205.434859E-6
-14.707111E-3	-17.146893E-3	204.451382E-6
-14.707156E-3	-17.145239E-3	203.602016E-6
-14.707178E-3	-17.143250E-3	202.775002E-6
-14.707446E-3	-17.141841E-3	202.059746E-6
-14.708072E-3	-17.141774E-3	201.545656E-6
-14.708899E-3	-17.142624E-3	201.188028E-6
-14.709681E-3	-17.143428E-3	200.785697E-6
-14.710374E-3	-17.143920E-3	200.338662E-6
-14.711156E-3	-17.144747E-3	199.981034E-6
-14.712118E-3	-17.146379E-3	199.891627E-6
-14.713056E-3	-17.148279E-3	200.070441E-6
-14.713705E-3	-17.149575E-3	200.383365E-6
-14.714085E-3	-17.150156E-3	200.808048E-6
-14.714509E-3	-17.150939E-3	201.478601E-6
-14.715135E-3	-17.152570E-3	202.484429E-6
-14.715917E-3	-17.154694E-3	203.691423E-6
-14.716610E-3	-17.156370E-3	204.898417E-6
-14.717281E-3	-17.157286E-3	205.926597E-6
-14.718086E-3	-17.158069E-3	206.887722E-6
-14.719158E-3	-17.159209E-3	207.893550E-6
-14.720187E-3	-17.160192E-3	208.832324E-6
-14.720879E-3	-17.160103E-3	209.525228E-6
-14.721215E-3	-17.158851E-3	209.927559E-6
-14.721438E-3	-17.157353E-3	210.151076E-6
-14.721729E-3	-17.156392E-3	210.374594E-6
-14.721885E-3	-17.155722E-3	210.531056E-6
-14.721662E-3	-17.154582E-3	210.486352E-6
-14.721058E-3	-17.152928E-3	210.218132E-6
-14.720321E-3	-17.151587E-3	209.882855E-6
-14.719650E-3	-17.151251E-3	209.681690E-6
-14.718913E-3	-17.151542E-3	209.569931E-6
-14.717884E-3	-17.151587E-3	209.391117E-6
-14.716700E-3	-17.151207E-3	209.100544E-6
-14.715694E-3	-17.151162E-3	208.899379E-6
-14.715113E-3	-17.152056E-3	209.011137E-6
-14.714912E-3	-17.153509E-3	209.435821E-6
-14.714889E-3	-17.154604E-3	210.061669E-6
-14.715046E-3	-17.155118E-3	210.843980E-6
-14.715627E-3	-17.155699E-3	211.849809E-6
-14.716700E-3	-17.156839E-3	213.168561E-6
-14.718041E-3	-17.158091E-3	214.576721E-6
-14.719293E-3	-17.158538E-3	215.761364E-6
-14.720388E-3	-17.158136E-3	216.521323E-6
-14.721483E-3	-17.157711E-3	216.901302E-6
-14.722735E-3	-17.157957E-3	216.968358E-6
-14.723919E-3	-17.158628E-3	216.633081E-6
-14.724880E-3	-17.158940E-3	215.806067E-6
-14.725685E-3	-17.158873E-3	214.509666E-6
-14.726669E-3	-17.159231E-3	213.079154E-6
-14.727943E-3	-17.160684E-3	211.782753E-6
-14.729306E-3	-17.162785E-3	210.732222E-6
-14.730379E-3	-17.164506E-3	209.905207E-6
-14.731161E-3	-17.165668E-3	209.391117E-6
-14.731988E-3	-17.166920E-3	209.301710E-6
-14.733128E-3	-17.168820E-3	209.659338E-6
-14.734447E-3	-17.170921E-3	210.173428E-6
-14.735699E-3	-17.172195E-3	210.508704E-6
-14.736749E-3	-17.172419E-3	210.486352E-6
-14.737710E-3	-17.172374E-3	210.240483E-6
-14.738671E-3	-17.172687E-3	209.860504E-6
-14.739387E-3	-17.173000E-3	209.346414E-6
-14.739633E-3	-17.172486E-3	208.675861E-6
-14.739543E-3	-17.171122E-3	207.893550E-6
-14.739454E-3	-17.169848E-3	207.267702E-6
-14.739566E-3	-17.169423E-3	206.999481E-6
-14.739811E-3	-17.169602E-3	207.066536E-6
-14.739968E-3	-17.169602E-3	207.267702E-6
-14.740057E-3	-17.169379E-3	207.491219E-6
-14.740258E-3	-17.169669E-3	207.848847E-6
-14.740728E-3	-17.171033E-3	208.362937E-6
-14.741220E-3	-17.172888E-3	208.877027E-6
-14.741488E-3	-17.174162E-3	209.100544E-6
-14.741488E-3	-17.174587E-3	208.921731E-6
-14.741488E-3	-17.174810E-3	208.474696E-6
-14.741644E-3	-17.175458E-3	207.915902E-6
-14.741801E-3	-17.176084E-3	207.290053E-6
-14.741644E-3	-17.175771E-3	206.574798E-6
-14.741175E-3	-17.174408E-3	205.837190E-6
-14.740616E-3	-17.172888E-3	205.300748E-6
-14.740169E-3	-17.171971E-3	205.054879E-6
-14.739722E-3	-17.171457E-3	204.943120E-6
-14.739208E-3	-17.170630E-3	204.719603E-6
-14.738671E-3	-17.169468E-3	204.317272E-6
-14.738426E-3	-17.168730E-3	203.847885E-6
-14.738582E-3	-17.169043E-3	203.490257E-6
-14.738962E-3	-17.169915E-3	203.289092E-6
-14.739275E-3	-17.170474E-3	203.177333E-6
-14.739498E-3	-17.170519E-3	203.154981E-6
-14.739834E-3	-17.170832E-3	203.423202E-6
-14.740348E-3	-17.171994E-3	204.116106E-6
-14.740817E-3	-17.173536E-3	205.099583E-6
-14.741018E-3	-17.174609E-3	206.172466E-6
-14.740996E-3	-17.175078E-3	207.290053E-6
-14.740996E-3	-17.175704E-3	208.541751E-6
-14.741153E-3	-17.177045E-3	209.994614E-6
-14.741331E-3	-17.178565E-3	211.469829E-6
-14.741287E-3	-17.179348E-3	212.676823E-6
-14.741085E-3	-17.179258E-3	213.459134E-6
-14.740951E-3	-17.179035E-3	213.861465E-6
-14.741063E-3	-17.179325E-3	214.017928E-6
-14.741242E-3	-17.179750E-3	213.861465E-6
-14.741242E-3	-17.179549E-3	213.235617E-6
-14.741063E-3	-17.178722E-3	212.229788E-6
-14.740974E-3	-17.178141E-3	211.067498E-6
-14.741085E-3	-17.178431E-3	210.016966E-6
-14.741264E-3	-17.179146E-3	209.078193E-6
-14.741309E-3	-17.179459E-3	208.184123E-6
-14.741220E-3	-17.179213E-3	207.222998E-6
-14.741220E-3	-17.179236E-3	206.261873E-6
-14.741465E-3	-17.180040E-3	205.367804E-6
-14.741823E-3	-17.181203E-3	204.406679E-6
-14.742114E-3	-17.181851E-3	203.177333E-6
-14.742337E-3	-17.181806E-3	201.702118E-6
-14.742695E-3	-17.181784E-3	200.182199E-6
-14.743276E-3	-17.182343E-3	198.863447E-6
-14.743835E-3	-17.182991E-3	197.857618E-6
-14.744058E-3	-17.182902E-3	197.075307E-6
-14.743991E-3	-17.181985E-3	196.583569E-6
-14.743879E-3	-17.181136E-3	196.583569E-6
-14.743902E-3	-17.181024E-3	197.231770E-6
-14.743969E-3	-17.181337E-3	198.349357E-6
-14.743902E-3	-17.181292E-3	199.623406E-6
-14.743812E-3	-17.180867E-3	200.852752E-6
-14.743969E-3	-17.180912E-3	202.037394E-6
-14.744528E-3	-17.181985E-3	203.177333E-6
-14.745399E-3	-17.183572E-3	204.138458E-6
-14.746293E-3	-17.184757E-3	204.652548E-6
-14.747143E-3	-17.185271E-3	204.697251E-6
-14.748126E-3	-17.185740E-3	204.406679E-6
-14.749244E-3	-17.186679E-3	203.959644E-6
-14.750272E-3	-17.187662E-3	203.400850E-6
-14.750943E-3	-17.187886E-3	202.663243E-6
-14.751300E-3	-17.187305E-3	201.813877E-6
-14.751591E-3	-17.186746E-3	201.120973E-6
-14.751971E-3	-17.186791E-3	200.785697E-6
-14.752284E-3	-17.187037E-3	200.740993E-6
-14.752261E-3	-17.186701E-3	200.897455E-6
-14.752015E-3	-17.185763E-3	201.165676E-6
-14.751814E-3	-17.185070E-3	201.702118E-6
-14.751814E-3	-17.185204E-3	202.573836E-6
-14.751904E-3	-17.185740E-3	203.713775E-6
-14.751770E-3	-17.185852E-3	204.831362E-6
-14.751457E-3	-17.185427E-3	205.859542E-6
-14.751188E-3	-17.185315E-3	206.820667E-6
